symbol,timestamp,open,high,low,close,volume,amount,source_freq
600519.SH,2026-06-15 09:35:00,1292.7,1292.7,1274.0,1278.45,586100,750696731.0,5min
600519.SH,2026-06-15 09:40:00,1278.42,1283.5,1276.02,1278.44,278093,355602761.0,5min
600519.SH,2026-06-15 09:45:00,1278.31,1284.12,1276.79,1280.36,258224,330315761.0,5min
600519.SH,2026-06-15 09:50:00,1279.77,1283.95,1278.52,1280.87,151300,193881305.0,5min
600519.SH,2026-06-15 09:55:00,1280.14,1284.0,1280.09,1283.89,111500,142981905.0,5min
600519.SH,2026-06-15 10:00:00,1284.0,1287.0,1280.29,1280.48,124569,159781094.0,5min
600519.SH,2026-06-15 10:05:00,1280.49,1281.42,1279.2,1280.4,70100,89758373.0,5min
600519.SH,2026-06-15 10:10:00,1280.41,1280.41,1275.68,1276.59,144300,184324714.0,5min
600519.SH,2026-06-15 10:15:00,1276.52,1278.49,1275.58,1275.58,101300,129302162.0,5min
600519.SH,2026-06-15 10:20:00,1275.58,1276.94,1274.01,1274.44,140356,178997074.0,5min
600519.SH,2026-06-15 10:25:00,1274.57,1275.99,1273.02,1273.44,106700,135941331.0,5min
600519.SH,2026-06-15 10:30:00,1273.43,1274.49,1273.0,1274.49,104100,132547593.0,5min
600519.SH,2026-06-15 10:35:00,1274.49,1274.49,1272.21,1272.21,107800,137220134.0,5min
600519.SH,2026-06-15 10:40:00,1272.27,1272.8,1270.59,1271.07,127500,162136504.0,5min
600519.SH,2026-06-15 10:45:00,1271.1,1273.49,1270.5,1273.48,65150,82823337.0,5min
600519.SH,2026-06-15 10:50:00,1273.5,1274.5,1272.95,1274.5,37700,48006247.0,5min
600519.SH,2026-06-15 10:55:00,1274.5,1275.79,1273.26,1273.65,44600,56839792.0,5min
600519.SH,2026-06-15 11:00:00,1273.5,1273.65,1271.8,1272.54,42500,54081220.0,5min
600519.SH,2026-06-15 11:05:00,1272.53,1272.65,1270.58,1271.5,72100,91669076.0,5min
600519.SH,2026-06-15 11:10:00,1271.5,1272.52,1270.53,1271.88,54476,69249179.0,5min
600519.SH,2026-06-15 11:15:00,1271.88,1272.52,1270.51,1270.54,53800,68410167.0,5min
600519.SH,2026-06-15 11:20:00,1270.52,1270.83,1270.1,1270.5,62837,79830938.0,5min
600519.SH,2026-06-15 11:25:00,1270.37,1270.91,1270.37,1270.52,37801,48028434.0,5min
600519.SH,2026-06-15 11:30:00,1270.52,1272.13,1270.11,1272.13,45774,58174241.0,5min
600519.SH,2026-06-15 13:05:00,1272.28,1273.37,1270.25,1270.56,73000,92828303.0,5min
600519.SH,2026-06-15 13:10:00,1270.56,1270.62,1270.16,1270.16,49900,63394661.0,5min
600519.SH,2026-06-15 13:15:00,1270.17,1270.31,1270.11,1270.17,55900,71002484.0,5min
600519.SH,2026-06-15 13:20:00,1270.15,1271.99,1270.12,1270.8,39962,50783053.0,5min
600519.SH,2026-06-15 13:25:00,1270.8,1270.81,1270.3,1270.46,37400,47513512.0,5min
600519.SH,2026-06-15 13:30:00,1270.36,1270.56,1270.3,1270.47,36800,46750042.0,5min
600519.SH,2026-06-15 13:35:00,1270.38,1270.51,1270.18,1270.2,54300,68979554.0,5min
600519.SH,2026-06-15 13:40:00,1270.19,1272.41,1270.18,1272.41,36499,46379892.0,5min
600519.SH,2026-06-15 13:45:00,1272.68,1273.07,1271.77,1271.77,40800,51912391.0,5min
600519.SH,2026-06-15 13:50:00,1271.89,1272.06,1271.06,1271.17,36901,46925847.0,5min
600519.SH,2026-06-15 13:55:00,1271.0,1271.15,1270.52,1270.85,30600,38885842.0,5min
600519.SH,2026-06-15 14:00:00,1270.86,1270.86,1270.5,1270.59,37800,48028677.0,5min
600519.SH,2026-06-15 14:05:00,1270.58,1272.51,1270.58,1271.19,46602,59254987.0,5min
600519.SH,2026-06-15 14:10:00,1271.18,1271.6,1270.75,1270.84,41200,52363399.0,5min
600519.SH,2026-06-15 14:15:00,1271.1,1271.1,1270.5,1270.61,49800,63280185.0,5min
600519.SH,2026-06-15 14:20:00,1270.61,1270.86,1270.53,1270.77,36000,45743863.0,5min
600519.SH,2026-06-15 14:25:00,1270.78,1270.86,1270.5,1270.51,51700,65689786.0,5min
600519.SH,2026-06-15 14:30:00,1270.51,1270.63,1270.51,1270.52,38367,48747491.0,5min
600519.SH,2026-06-15 14:35:00,1270.51,1270.72,1270.5,1270.58,50681,64393404.0,5min
600519.SH,2026-06-15 14:40:00,1270.55,1270.6,1270.38,1270.47,76419,97090211.0,5min
600519.SH,2026-06-15 14:45:00,1270.47,1271.74,1270.47,1270.81,59106,75118588.0,5min
600519.SH,2026-06-15 14:50:00,1270.81,1272.0,1270.58,1271.06,75525,96007902.0,5min
600519.SH,2026-06-15 14:55:00,1271.05,1271.73,1270.9,1271.16,65900,83763497.0,5min
600519.SH,2026-06-15 15:00:00,1271.68,1272.6,1271.1,1271.1,108714,138218485.0,5min
600519.SH,2026-06-16 09:35:00,1267.01,1267.01,1262.03,1263.13,267400,338135885.0,5min
