symbol,name,industry,is_cycle_stock,notes,total_mv,circ_mv,amount,list_date,list_days,asof_date,universe_method,bias_notes
601939.SH,建设银行,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,256630000.0,9411400.0,1073181.271,20070925,6848,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601398.SH,工商银行,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,256256100.0,193851200.0,2570412.27,20061027,7181,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601288.SH,农业银行,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,218739400.0,199527599.99999997,2272001.697,20100715,5824,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600941.SH,中国移动,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,190128500.0,7917300.0,988929.304,20220105,1632,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601988.SH,中国银行,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,186561000.0,122033200.0,2222922.055,20060705,7295,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
300750.SZ,宁德时代,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,185944100.0,171089300.0,12900279.037999999,20180611,2936,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601857.SH,中国石油,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,165817000.0,146701400.0,1722931.518,20071105,6807,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601138.SH,工业富联,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,152779700.0,152779700.0,14951305.125,20180608,2939,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600519.SH,贵州茅台,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,151522400.0,151522400.0,5860481.755,20010827,9068,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
300308.SZ,中际旭创,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,147590200.0,146889400.0,49655189.338,20120410,5189,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688981.SH,中芯国际,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,134282800.0,31365100.000000004,18470621.628,20200716,2170,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600938.SH,中国海油,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,131800600.0,8291300.0,2761501.454,20220421,1526,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601628.SH,中国人寿,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,104268500.0,76818000.0,2166636.417,20070109,7107,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688256.SH,寒武纪,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,94558100.0,94558100.0,23799059.014,20200720,2166,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600036.SH,招商银行,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,91371500.0,74738700.0,4308980.708,20020409,8843,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601318.SH,中国平安,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,89270700.0,52554100.0,5996134.268999999,20070301,7056,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601088.SH,中国神华,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,85456400.0,64974700.0,1898938.854,20071009,6834,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
300502.SZ,新易盛,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,85118000.0,76570300.0,40588348.021,20160303,3766,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688041.SH,海光信息,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,83741299.99999999,83741299.99999999,21499719.228,20220812,1413,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
002594.SZ,比亚迪,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,74943400.0,28660000.0,4579273.325,20110630,5474,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601899.SH,紫金矿业,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,68923100.0,53399799.99999999,15037198.57,20080425,6635,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600900.SH,长江电力,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,64155700.0,64155700.0,3482768.7920000004,20031118,8255,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601658.SH,邮储银行,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,58846600.0,35538600.0,738814.451,20191210,2389,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
000333.SZ,美的集团,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,58242800.0,52496200.0,3173689.8719999995,20130918,4663,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601328.SH,交通银行,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,58231700.0,17181700.0,1382729.808,20070515,6981,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
002371.SZ,北方华创,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,57910000.0,57863800.0,9454404.907,20100316,5945,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
