document_path	evidence_type	evidence_ref	required
docs/audit/Repository-Map.md	path	src/market_regime_alpha	true
docs/research/Candidate-Research.md	path	src/market_regime_alpha/candidates	true
docs/research/Candidate-Research.md	symbol	CandidateResearchDataset	true
docs/research/Candidate-Research.md	symbol	CandidatePrediction	true
docs/research/Entry-Research.md	path	src/market_regime_alpha/strategies/entry	true
docs/architecture/03-Research-Artifact-Architecture.md	path	src/market_regime_alpha/research	true
docs/architecture/03-Research-Artifact-Architecture.md	symbol	ExperimentIdentity	true
docs/architecture/01-Domain-Boundaries.md	path	src/market_regime_alpha	true
docs/constitution/05-Factor-Constitution.md	symbol	FeatureDefinition	true
docs/constitution/05-Factor-Constitution.md	symbol	FeatureMaterialization	true
